"date1","year_date","month_date","reg","prov","dist","cred_direc","dep_vis","dep_aho","dep_pla","dep_tot"
2020-01-31,2020,1,"Arequipa","Castilla","Pampacolca",2726.41702,0,19.0055,0,19.0055
2020-01-31,2020,1,"Arequipa","Caylloma","Majes",137882.44675,5265.84235,45848.44286,4683.39294,55797.67815
2020-01-31,2020,1,"Arequipa","Islay","Cocachacra",19726.35489,0,1506.34748,568.36646,2074.71394
2020-01-31,2020,1,"Arequipa","Islay","Mollendo",54270.83807,34364.34145,38493.80067,15670.79588,88528.938
2020-01-31,2020,1,"Arequipa","Islay","Punta de Bombon",9853.6986,0,371.01787,245.81116,616.82903
2020-01-31,2020,1,"Ayacucho","Huamanga","Ayacucho",618831.28062,132124.93504,305223.16566,65550.7421,502898.8428
2020-01-31,2020,1,"Ayacucho","Huanta","Huanta",56718.80265,0,2277.74184,944.88008,3222.62192
2020-01-31,2020,1,"Ayacucho","La Mar","Tambo",6101.8737,0,120.20358,0,120.20358
2020-01-31,2020,1,"Ayacucho","Cangallo","Cangallo",1331.04515,0,0.10616,0,0.10616
2020-01-31,2020,1,"Cajamarca","Cajabamba","Cajabamba",32770.82343,0,2051.9973,1348.19282,3400.19012
2020-01-31,2020,1,"Cajamarca","Cajamarca","Cajamarca",1598115.52242,283753.03412,559536.64803,283503.42614,1126793.10829
2020-01-31,2020,1,"Cajamarca","Celendin","Celendin",30720.86605,0,811.10087,924.73928,1735.84015
2020-01-31,2020,1,"Cajamarca","Celendin","Sorochuco",2964.23168,0,0.31577,0,0.31577
2020-01-31,2020,1,"Cajamarca","Chota","Chota",133752.20263,14383.7977,25238.33132,6956.52728,46578.6563
2020-01-31,2020,1,"Cajamarca","Chota","Paccha",4231.19062,0,0.00257,0,0.00257
2020-01-31,2020,1,"Cajamarca","Chota","Tacabamba",5120.944,0,0.03054,0,0.03054
2020-01-31,2020,1,"Cajamarca","Cutervo","Cutervo",37640.61055,0,568.47419,1175.14824,1743.62243
2020-01-31,2020,1,"Cajamarca","Hualgayoc","Bambamarca",52486.23039,0,705.68384,772.97386,1478.6577
2020-01-31,2020,1,"Cajamarca","Jaen","Jaen",775743.71478,83677.902,123417.57434,23565.30227,230660.77861
2020-01-31,2020,1,"Cajamarca","San Marcos","Pedro Galvez",11790.22239,0,0.1412,0,0.1412
2020-01-31,2020,1,"Cajamarca","San Pablo","San Pablo",6456.45583,0,2.18002,0,2.18002
2020-01-31,2020,1,"Cajamarca","San Miguel","San Miguel",14223.09336,9.79707,413.61759,1974.22529,2397.63995
2020-01-31,2020,1,"Cajamarca","San Miguel","Tongod",5245.12246,0,0.00453,0,0.00453
2020-01-31,2020,1,"Cajamarca","Santa Cruz","Santa Cruz",9410.12161,0,100.19369,0,100.19369
2020-01-31,2020,1,"Cajamarca","San Ignacio","San Ignacio",14886.96993,81.87476,1173.31701,172.78579,1427.97756
2020-01-31,2020,1,"Callao","Prov. Const. del Callao","Bellavista",447444.10188,117475.19637,268099.17804,172248.33332,557822.70773
2020-01-31,2020,1,"Callao","Prov. Const. del Callao","Callao",4746719.83993,1056891.23253,1398907.33017,974375.87136,3430174.43406
2020-01-31,2020,1,"Callao","Prov. Const. del Callao","Ventanilla",348591.95597,85223.20437,312744.385,80002.46855,477970.05792
2020-01-31,2020,1,"Callao","Prov. Const. del Callao","La Punta",26.80507,30509.02729,83706.50844,5978.51084,120194.04657
2020-01-31,2020,1,"Callao","Prov. Const. del Callao","Carmen de la Legua Reynoso",199991.39788,435190.22633,69196.56112,59384.70708,563771.49453
2020-01-31,2020,1,"Callao","Prov. Const. del Callao","La Perla",176570.14212,15273.23222,59296.2536,38203.4926,112772.97842
2020-01-31,2020,1,"Cusco","Anta","Anta",20267.77671,0,1461.06826,812.3673,2273.43556
2020-01-31,2020,1,"Cusco","Calca","Calca",4269.11069,0,0.00013,0,0.00013
2020-01-31,2020,1,"Cusco","Canchis","Sicuani",75899.92123,11983.98074,26067.82144,2496.01718,40547.81936
2020-01-31,2020,1,"Cusco","Canchis","Combapata",15213.36724,0,184.37632,741.44356,925.81988
2020-01-31,2020,1,"Cusco","Cusco","Cusco",1915352.0048,466825.98099,1066390.91116,287601.40639,1820818.29854
2020-01-31,2020,1,"Cusco","Cusco","San Jeronimo",69147.65543,19150.97881,66530.66217,6832.31507,92513.95605
2020-01-31,2020,1,"Cusco","Cusco","San Sebastian",124125.75452,5878.4243,42476.77713,12262.16661,60617.36804
2020-01-31,2020,1,"Cusco","Cusco","Santiago",60475.85593,0.00324,6018.15621,4383.65674,10401.81619
2020-01-31,2020,1,"Cusco","Cusco","Wanchaq",291592.80761,62865.21027,263635.38748,76843.03296,403343.63071
2020-01-31,2020,1,"Cusco","Espinar","Espinar",71193.18229,13060.22291,72911.90562,53052.28661,139024.41514
2020-01-31,2020,1,"Cusco","La Convencion","Santa Ana",123226.67046,32404.29497,63663.16784,9005.16901,105072.63182
2020-01-31,2020,1,"Cusco","La Convencion","Echarate",3656.50017,0,0.00825,0,0.00825
2020-01-31,2020,1,"Cusco","La Convencion","Huayopata",3349.021,0,0,0,0
2020-01-31,2020,1,"Cusco","Quispicanchi","Urcos",14973.30771,0,761.75809,342.17489,1103.93298
2020-01-31,2020,1,"Cusco","Urubamba","Machupicchu",0.00414,561.24975,5734.08226,52.63094,6347.96295
2020-01-31,2020,1,"Cusco","Urubamba","Urubamba",13559.87642,6635.23311,35623.24505,2075.6162,44334.09436
2020-01-31,2020,1,"Cusco","Acomayo","Pomacanchi",4846.66885,0,0.39116,0,0.39116
2020-01-31,2020,1,"Cusco","Acomayo","Acomayo",3208.50622,0,0,0,0
2020-01-31,2020,1,"Cusco","Chumbivilcas","Santo Tomas",12640.64703,0,487.06807,235.30112,722.36919
2020-01-31,2020,1,"Huancavelica","Huancavelica","Huancavelica",62452.10561,21919.45933,85300.23924,5338.20401,112557.90258
2020-01-31,2020,1,"Huanuco","Huanuco","Huanuco",1204497.99682,88507.91765,309608.93733,92198.79533,490315.65031
2020-01-31,2020,1,"Huanuco","Leoncio Prado","Rupa-Rupa",136482.85233,19275.27856,66103.53133,13574.76867,98953.57856
2020-01-31,2020,1,"Huanuco","Leoncio Prado","Jose Crespo y Castillo",15987.18155,0.05444,952.16716,404.31612,1356.53772
2020-01-31,2020,1,"Huanuco","Dos de Mayo","La Union",11886.38354,0.29034,577.79634,357.63874,935.72542
2020-01-31,2020,1,"Huanuco","Pachitea","Panao",21951.35434,0,1192.32249,424.49318,1616.81567
2020-01-31,2020,1,"Ica","Chincha","Chincha Alta",1288375.63972,196038.62676,197013.73244,143302.63713,536354.99633
2020-01-31,2020,1,"Ica","Chincha","Grocio Prado",29508.62241,5877.00642,7206.97316,3665.67523,16749.65481
2020-01-31,2020,1,"Ica","Ica","Ica",1741271.62414,201549.89718,570742.95514,353039.2061,1125332.05842
2020-01-31,2020,1,"Ica","Ica","Parcona",21573.77423,1573.07356,9999.54988,590.49515,12163.11859
2020-01-31,2020,1,"Ica","Nazca","Nazca",126869.52567,58160.38677,80800.6027,17384.84168,156345.83115
2020-01-31,2020,1,"Ica","Nazca","Marcona",44837.73213,30594.24452,124087.97184,35399.12657,190081.34293
2020-01-31,2020,1,"Ica","Pisco","Pisco",314378.98324,36882.01706,174815.20159,90138.72884,301835.94749
2020-01-31,2020,1,"Junin","Chanchamayo","Chanchamayo",299745.51031,21059.57772,92690.80036,20863.34398,134613.72206
2020-01-31,2020,1,"Junin","Chanchamayo","Pichanaqui",117236.82455,13081.52542,32912.46297,3372.91103,49366.89942
2020-01-31,2020,1,"Junin","Chanchamayo","San Ramon",5149.34751,1123.39111,5957.02862,1495.95414,8576.37387
2020-01-31,2020,1,"Junin","Chupaca","Chupaca",38055.74925,87.2544,1454.17665,723.42014,2264.85119
2020-01-31,2020,1,"Junin","Huancayo","Chilca",74523.86632,10472.08039,38721.10322,13282.09648,62475.28009
2020-01-31,2020,1,"Junin","Huancayo","El Tambo",306172.17826,53495.11817,177417.20547,54457.47543,285369.79907
2020-01-31,2020,1,"Junin","Huancayo","Huancayo",1874345.5219,277565.90833,602400.83165,289705.1674,1169671.90738
2020-01-31,2020,1,"Junin","Jauja","Jauja",47929.62012,3518.6412,19499.92117,4873.9375,27892.49987
2020-01-31,2020,1,"Junin","Satipo","Pangoa",35829.81561,2433.18726,9684.41223,964.48131,13082.0808
2020-01-31,2020,1,"Junin","Satipo","Satipo",136975.57461,11273.20428,55556.52266,6927.41856,73757.1455
2020-01-31,2020,1,"Junin","Tarma","Tarma",158934.28698,11312.11426,67499.7341,33113.43762,111925.28598
2020-01-31,2020,1,"Junin","Yauli","La Oroya",91462.17931,31665.63361,56979.65743,42409.06024,131054.35128
2020-01-31,2020,1,"Junin","Concepcion","Concepcion",18417.64938,0,919.12739,613.33243,1532.45982
2020-01-31,2020,1,"La Libertad","Ascope","Chocope",25485.41268,0.00013,888.43085,652.27966,1540.71064
2020-01-31,2020,1,"La Libertad","Chepen","Chepen",179966.40715,12022.81389,81510.80794,20292.43838,113826.06021
2020-01-31,2020,1,"La Libertad","Otuzco","Otuzco",32809.41786,0,1415.59473,562.51333,1978.10806
2020-01-31,2020,1,"La Libertad","Sanchez Carrion","Huamachuco",99018.38036,13080.36482,25368.22698,6180.32857,44628.92037
2020-01-31,2020,1,"La Libertad","Trujillo","El Porvenir",132324.61701,7371.54801,36560.25855,11357.49738,55289.30394
2020-01-31,2020,1,"La Libertad","Trujillo","La Esperanza",84118.05132,4464.16364,29875.18849,9659.18899,43998.54112
2020-01-31,2020,1,"La Libertad","Trujillo","Trujillo",6644863.05809,1171830.01519,2232593.82995,983236.29472,4387660.13986
2020-01-31,2020,1,"La Libertad","Trujillo","Huanchaco",25120.10208,0,979.28121,291.31679,1270.598
2020-01-31,2020,1,"La Libertad","Trujillo","Victor Larco Herrera",39220.98485,1407.42125,20586.41153,11187.56967,33181.40245
2020-01-31,2020,1,"La Libertad","Viru","Viru",41478.23566,0,2269.34272,947.3685,3216.71122
2020-01-31,2020,1,"La Libertad","Pacasmayo","Pacasmayo",148606.22369,9824.14264,48400.41048,30764.43362,88988.98674
2020-01-31,2020,1,"La Libertad","Santiago de Chuco","Santiago de Chuco",8562.99597,0,600.82424,609.33021,1210.15445
2020-01-31,2020,1,"La Libertad","Pataz","Parcoy",1891.58224,482.20945,59286.33509,5649.12178,65417.66632
2020-01-31,2020,1,"Lambayeque","Chiclayo","Cayaltí",14896.59977,0,461.63143,647.69093,1109.32236
2020-01-31,2020,1,"Lambayeque","Chiclayo","Chiclayo",4300075.06341,420536.9739,1052928.09909,498427.79032,1971892.86331
2020-01-31,2020,1,"Lambayeque","Chiclayo","Jose Leonardo Ortiz",252269.22469,29184.55725,51047.81855,10172.99409,90405.36989
2020-01-31,2020,1,"Lambayeque","Chiclayo","La Victoria",39070.4672,0.02469,2369.23405,1358.54366,3727.8024
2020-01-31,2020,1,"Lambayeque","Chiclayo","Pimentel",16083.8271,0,16.91769,135.46706,152.38475
2020-01-31,2020,1,"Lambayeque","Chiclayo","Pomalca",15128.20511,0,51.12983,0,51.12983
